platform,cpu_model,workload,backend,n,mean_s,ci95_low_s,ci95_high_s,cv_percent,overhead_x_vs_native,overhead_p_value,overhead_p_holm,overhead_x_vs_cli,overhead_p_vs_cli,overhead_p_vs_cli_holm,container_peak_mem_mb,lifecycle_floor_s,compute_est_s
macos-arm64,Apple M4 Max,pack_ecp5_ecppack,strategy,30,1.178488,1.168501,1.188474,2.27,,,,1.1813,4.4928011040794116e-35,0.0,2.2,0.452032,0.726455
macos-arm64,Apple M4 Max,pack_ice40_icepack,cli,30,0.349032,0.340607,0.357457,6.47,,,,,,,,0.250379,0.098653
macos-arm64,Apple M4 Max,pack_ice40_icepack,strategy,30,0.563413,0.55531,0.571516,3.85,,,,1.6142,2.5334149492233984e-42,0.0,1.4,0.452032,0.111381
macos-arm64,Apple M4 Max,pnr_ecp5_nextpnr,cli,30,1.003571,0.992502,1.01464,2.95,,,,,,,,0.250379,0.753192
macos-arm64,Apple M4 Max,pnr_ecp5_nextpnr,strategy,30,1.186633,1.177938,1.195328,1.96,,,,1.1824,4.741274174046498e-33,0.0,1.9,0.452032,0.7346
macos-arm64,Apple M4 Max,pnr_ice40_nextpnr,cli,30,0.630919,0.620839,0.640999,4.28,,,,,,,,0.250379,0.38054
macos-arm64,Apple M4 Max,pnr_ice40_nextpnr,strategy,30,0.82073,0.812874,0.828585,2.56,,,,1.3008,6.103149012116617e-36,0.0,2.2,0.452032,0.368697
macos-arm64,Apple M4 Max,sim_iverilog,cli,30,0.528336,0.518917,0.537756,4.78,,,,,,,,0.250379,0.277957
macos-arm64,Apple M4 Max,sim_iverilog,strategy,30,0.712981,0.708745,0.717216,1.59,,,,1.3495,1.6559247932865003e-32,0.0,,0.452032,0.260948
macos-arm64,Apple M4 Max,synth_ecp5_yosys,cli,30,1.164661,1.153654,1.175668,2.53,,,,,,,,0.250379,0.914281
macos-arm64,Apple M4 Max,synth_ecp5_yosys,strategy,30,1.311142,1.295532,1.326752,3.19,,,,1.1258,2.2121127017952106e-21,0.0,2.2,0.452032,0.85911
macos-arm64,Apple M4 Max,synth_ice40_yosys,cli,30,1.345564,1.332729,1.358399,2.55,,,,,,,,0.250379,1.095185
macos-arm64,Apple M4 Max,synth_ice40_yosys,strategy,30,1.504224,1.495071,1.513378,1.63,,,,1.1179,8.850884200299606e-27,0.0,22.2,0.452032,1.052192
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",lifecycle_floor,cli,30,0.422693,0.416055,0.429331,4.21,,,,,,,,0.422693,
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",lifecycle_floor,strategy,30,0.677503,0.665759,0.689246,4.64,,,,1.6028,1.3186109273221874e-36,0.0,,0.677503,
windows-amd64,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",pack_ecp5_ecppack,cli,30,1.154992,1.14444,1.165545,2.45,,,,,,,,0.422693,0.7323
